Store_ID,Store_Name,Location,Store_Size,Average_Weekly_Traffic,Competitor_Presence
1,Store_1,Rural,Medium,875,Yes
2,Store_2,Urban,Small,2366,No
3,Store_3,Urban,Small,2870,No
4,Store_4,Rural,Large,1153,No
5,Store_5,Suburban,Medium,2407,Yes
6,Store_6,Urban,Medium,1327,No
7,Store_7,Urban,Medium,3613,Yes
8,Store_8,Urban,Small,2777,Yes
9,Store_9,Rural,Small,4214,No
10,Store_10,Urban,Medium,3488,No
11,Store_11,Rural,Small,1832,No
12,Store_12,Rural,Small,3532,No
13,Store_13,Rural,Medium,3410,Yes
14,Store_14,Urban,Small,2216,Yes
15,Store_15,Rural,Medium,2687,No
16,Store_16,Suburban,Medium,1084,Yes
17,Store_17,Urban,Large,1901,Yes
18,Store_18,Urban,Medium,4875,Yes
19,Store_19,Urban,Small,2505,Yes
20,Store_20,Urban,Large,1838,Yes
21,Store_21,Urban,Medium,4286,No
22,Store_22,Rural,Large,3608,Yes
23,Store_23,Rural,Small,2711,No
24,Store_24,Urban,Medium,2299,No
25,Store_25,Rural,Small,3156,No
26,Store_26,Urban,Large,958,No
27,Store_27,Rural,Medium,2376,Yes
28,Store_28,Rural,Large,762,Yes
29,Store_29,Rural,Large,3084,No
30,Store_30,Rural,Medium,3786,No
31,Store_31,Suburban,Large,2693,Yes
32,Store_32,Urban,Small,1042,No
33,Store_33,Suburban,Large,2228,No
34,Store_34,Rural,Small,3077,Yes
